name,title,url,score
"脑瘫,幼稚,智障人士",大一女生纹身什么图案比较好？,https://www.zhihu.com/question/554421616,10
"古言,大女主文,现言",有没有女主人间清醒的小说？,https://www.zhihu.com/question/460572179,10
"NBA,篮球,金州勇士（Golden State Warriors）",22-23 赛季 NBA 常规赛揭幕战湖人 109:123 勇士，如何评价这场比赛？,https://www.zhihu.com/question/560684259,10
"女性主义,生育,人民日报",如何看待《人民日报》官方微博这两天前后两次提及女性最佳生育年龄是25-29岁？,https://www.zhihu.com/question/34963252,10
"互联网,经济,军事",泽连斯基称乌克兰 30% 发电厂被摧毁，基辅市长呼吁市民不要用空调等大功率电器，目前当地情况如何？,https://www.zhihu.com/question/560615185,10
生意,为什么有些老顾客吃着吃着就不再来照顾生意了？,https://www.zhihu.com/question/554264520,9.87278
"互联网,投资,汽车",2022 巴黎车展开幕，比亚迪唐欧洲售价超奥迪 Q7，魏牌摩卡涨 10 万元开售，哪些信息值得关注？,https://www.zhihu.com/question/560590154,9.84755
"经济形势,医疗体系,居家隔离",如何反驳【新冠真实死亡率锐减到千分之1，防控措施越严厉的国家越可笑】？,https://www.zhihu.com/question/393602531,9.8259
张元英,张元英真的是中国血统吗？,https://www.zhihu.com/question/560290846,9.77744
"热门新闻,商业,社会",李宁回应冬装争议「对逐梦行秀款部分产品设计及造型表示歉意」，如何看待此事？,https://www.zhihu.com/question/560748466,9.42951
"国际关系,新加坡,跨太平洋伙伴关系协议（TPP）",如何看待新加坡总理李显龙称中国若加入 CPTPP 是好事？这是个什么组织？加入有哪些好处？,https://www.zhihu.com/question/560771408,9.20051
"科幻,ACG,魔法",为什么施法前需要咏唱？,https://www.zhihu.com/question/544157757,9.19884
"教育,表达,学生",为什么东亚学生上课时通常不甚活跃，不爱发言？,https://www.zhihu.com/question/19769575,9.13614
"能源,四川,地质学",四川盆地页岩气勘探获得重大发现，评价落实地质资源量达 3878 亿立方米，具有怎样的意义？,https://www.zhihu.com/question/560717476,9
"环境保护,新疆,沙漠",如何看待新疆塔克拉玛干沙漠出现众多湖泊？受哪些因素影响形成的？,https://www.zhihu.com/question/560600203,9
"小说,绿茶（网络用语）,爽文",有什么打脸绿茶的爽文？,https://www.zhihu.com/question/547418539,9
"人口学,中国人口,生育率",生育率真的在下降吗？,https://www.zhihu.com/question/396818826,9
